username,repo_name,stars,repo_url
bitcoin,bitcoin,65500,https://github.com//bitcoin/bitcoin
ccxt,ccxt,25200,https://github.com//ccxt/ccxt
freqtrade,freqtrade,18700,https://github.com//freqtrade/freqtrade
HelloZeroNet,ZeroNet,17600,https://github.com//HelloZeroNet/ZeroNet
askmike,gekko,9900,https://github.com//askmike/gekko
bbfamily,abu,9200,https://github.com//bbfamily/abu
solana-labs,solana,9200,https://github.com//solana-labs/solana
lbryio,lbry-sdk,7100,https://github.com//lbryio/lbry-sdk
dvf,blockchain,7000,https://github.com//dvf/blockchain
lightningnetwork,lnd,6200,https://github.com//lightningnetwork/lnd
